"","ay","age","amount","metric","eval_date"
"1992.291",1992,291,1.001,"ind_itdpaid",2017-03-31
"1993.291",1993,291,1.001,"ind_itdpaid",2018-03-31
"1994.291",1994,291,1.001,"ind_itdpaid",2019-03-31
"1984.303",1984,303,1.001,"ind_itdpaid",2010-03-31
"1985.303",1985,303,1.001,"ind_itdpaid",2011-03-31
"1986.303",1986,303,1.001,"ind_itdpaid",2012-03-31
"1987.303",1987,303,1.002,"ind_itdpaid",2013-03-31
"1988.303",1988,303,1.001,"ind_itdpaid",2014-03-31
"1989.303",1989,303,1.001,"ind_itdpaid",2015-03-31
"1990.303",1990,303,1.001,"ind_itdpaid",2016-03-31
"1991.303",1991,303,1.001,"ind_itdpaid",2017-03-31
"1992.303",1992,303,1.001,"ind_itdpaid",2018-03-31
"1993.303",1993,303,1.001,"ind_itdpaid",2019-03-31
"1983.315",1983,315,1.001,"ind_itdpaid",2010-03-31
"1984.315",1984,315,1.001,"ind_itdpaid",2011-03-31
"1985.315",1985,315,1.001,"ind_itdpaid",2012-03-31
"1986.315",1986,315,1.001,"ind_itdpaid",2013-03-31
"1987.315",1987,315,1.001,"ind_itdpaid",2014-03-31
"1988.315",1988,315,1.001,"ind_itdpaid",2015-03-31
"1989.315",1989,315,1.001,"ind_itdpaid",2016-03-31
"1990.315",1990,315,1,"ind_itdpaid",2017-03-31
"1991.315",1991,315,1.001,"ind_itdpaid",2018-03-31
"1992.315",1992,315,1.001,"ind_itdpaid",2019-03-31
"1983.327",1983,327,1.001,"ind_itdpaid",2011-03-31
"1984.327",1984,327,1.001,"ind_itdpaid",2012-03-31
"1985.327",1985,327,1.002,"ind_itdpaid",2013-03-31
"1986.327",1986,327,1.001,"ind_itdpaid",2014-03-31
"1987.327",1987,327,1.001,"ind_itdpaid",2015-03-31
"1988.327",1988,327,1.001,"ind_itdpaid",2016-03-31
"1989.327",1989,327,1.001,"ind_itdpaid",2017-03-31
"1990.327",1990,327,1,"ind_itdpaid",2018-03-31
"1991.327",1991,327,1.001,"ind_itdpaid",2019-03-31
"1983.339",1983,339,1.001,"ind_itdpaid",2012-03-31
"1984.339",1984,339,1.001,"ind_itdpaid",2013-03-31
"1985.339",1985,339,1.001,"ind_itdpaid",2014-03-31
"1986.339",1986,339,1.001,"ind_itdpaid",2015-03-31
"1987.339",1987,339,1.001,"ind_itdpaid",2016-03-31
"1988.339",1988,339,1,"ind_itdpaid",2017-03-31
"1989.339",1989,339,1.001,"ind_itdpaid",2018-03-31
"1990.339",1990,339,1.001,"ind_itdpaid",2019-03-31
"1983.351",1983,351,1.001,"ind_itdpaid",2013-03-31
"1984.351",1984,351,1.001,"ind_itdpaid",2014-03-31
"1985.351",1985,351,1.001,"ind_itdpaid",2015-03-31
"1986.351",1986,351,1.001,"ind_itdpaid",2016-03-31
"1987.351",1987,351,1,"ind_itdpaid",2017-03-31
"1988.351",1988,351,1.001,"ind_itdpaid",2018-03-31
"1989.351",1989,351,1.001,"ind_itdpaid",2019-03-31
"1983.363",1983,363,1.001,"ind_itdpaid",2014-03-31
"1984.363",1984,363,1,"ind_itdpaid",2015-03-31
"1985.363",1985,363,1.001,"ind_itdpaid",2016-03-31
"1986.363",1986,363,1.001,"ind_itdpaid",2017-03-31
"1987.363",1987,363,1.001,"ind_itdpaid",2018-03-31
"1988.363",1988,363,1.001,"ind_itdpaid",2019-03-31
"1983.375",1983,375,1.001,"ind_itdpaid",2015-03-31
"1984.375",1984,375,1,"ind_itdpaid",2016-03-31
"1985.375",1985,375,1.001,"ind_itdpaid",2017-03-31
"1986.375",1986,375,1.001,"ind_itdpaid",2018-03-31
"1987.375",1987,375,1.001,"ind_itdpaid",2019-03-31
"1983.387",1983,387,1.001,"ind_itdpaid",2016-03-31
"1984.387",1984,387,1.001,"ind_itdpaid",2017-03-31
"1985.387",1985,387,1,"ind_itdpaid",2018-03-31
"1986.387",1986,387,1,"ind_itdpaid",2019-03-31
"1983.399",1983,399,1.001,"ind_itdpaid",2017-03-31
"1984.399",1984,399,1,"ind_itdpaid",2018-03-31
"1985.399",1985,399,1,"ind_itdpaid",2019-03-31
"2008.151",2008,15,1.618,"ind_itdrptd",2010-03-31
