"","ay","age","amount","metric","eval_date"
"1992.219",1992,219,1961703664,"ind_itdpaid",03/31/2010
"1993.219",1993,219,1669240280,"ind_itdpaid",03/31/2011
"1994.219",1994,219,1599358600,"ind_itdpaid",03/31/2012
"1995.219",1995,219,1599364972,"ind_itdpaid",03/31/2013
"1996.219",1996,219,1917515982,"ind_itdpaid",03/31/2014
"1997.219",1997,219,2283448784,"ind_itdpaid",03/31/2015
"1998.219",1998,219,2733050670,"ind_itdpaid",03/31/2016
"1999.219",1999,219,3021309175,"ind_itdpaid",03/31/2017
"2000.219",2000,219,3395312865,"ind_itdpaid",03/31/2018
"1989.231",1989,231,1915770946,"ind_itdpaid",03/31/2008
"1990.231",1990,231,1921522090,"ind_itdpaid",03/31/2009
"1991.231",1991,231,2448041818,"ind_itdpaid",03/31/2010
"1992.231",1992,231,1965627071,"ind_itdpaid",03/31/2011
"1993.231",1993,231,1674248001,"ind_itdpaid",03/31/2012
"1994.231",1994,231,1602557317,"ind_itdpaid",03/31/2013
"1995.231",1995,231,1605762432,"ind_itdpaid",03/31/2014
"1996.231",1996,231,1925186046,"ind_itdpaid",03/31/2015
"1997.231",1997,231,2290299130,"ind_itdpaid",03/31/2016
"1998.231",1998,231,2743982872,"ind_itdpaid",03/31/2017
"1999.231",1999,231,3030373103,"ind_itdpaid",03/31/2018
"1988.243",1988,243,1683085717,"ind_itdpaid",03/31/2008
"1989.243",1989,243,1917686716,"ind_itdpaid",03/31/2009
"1990.243",1990,243,1923443612,"ind_itdpaid",03/31/2010
"1991.243",1991,243,2450489860,"ind_itdpaid",03/31/2011
"1992.243",1992,243,1969558325,"ind_itdpaid",03/31/2012
"1993.243",1993,243,1677596497,"ind_itdpaid",03/31/2013
"1994.243",1994,243,1607364989,"ind_itdpaid",03/31/2014
"1995.243",1995,243,1610579719,"ind_itdpaid",03/31/2015
"1996.243",1996,243,1930961604,"ind_itdpaid",03/31/2016
"1997.243",1997,243,2294879729,"ind_itdpaid",03/31/2017
"1998.243",1998,243,2752214821,"ind_itdpaid",03/31/2018
"1987.255",1987,255,1489809712,"ind_itdpaid",03/31/2008
"1988.255",1988,255,1684768802,"ind_itdpaid",03/31/2009
"1989.255",1989,255,1919604403,"ind_itdpaid",03/31/2010
"1990.255",1990,255,1925367056,"ind_itdpaid",03/31/2011
"1991.255",1991,255,2452940350,"ind_itdpaid",03/31/2012
"1992.255",1992,255,1973497442,"ind_itdpaid",03/31/2013
"1993.255",1993,255,1680951690,"ind_itdpaid",03/31/2014
"1994.255",1994,255,1612187084,"ind_itdpaid",03/31/2015
"1995.255",1995,255,1613800879,"ind_itdpaid",03/31/2016
"1996.255",1996,255,1936754489,"ind_itdpaid",03/31/2017
"1997.255",1997,255,2299469488,"ind_itdpaid",03/31/2018
"1986.267",1986,267,1367504035,"ind_itdpaid",03/31/2008
"1987.267",1987,267,1491299522,"ind_itdpaid",03/31/2009
"1988.267",1988,267,1686453571,"ind_itdpaid",03/31/2010
"1989.267",1989,267,1921524008,"ind_itdpaid",03/31/2011
"1990.267",1990,267,1927292423,"ind_itdpaid",03/31/2012
"1991.267",1991,267,2457846231,"ind_itdpaid",03/31/2013
"1992.267",1992,267,1977444437,"ind_itdpaid",03/31/2014
